,Estimate,Std. Error,z value,Pr(>|z|)
Region.2africa,-0.103594655,0.055361412,-1.871243013,0.061311405
Region.2americas,0.486471689,0.094755094,5.133989809,2.84E-07
Region.2australiaasia,0.390342308,0.041339479,9.442361527,3.64E-21
Region.2europe,0.839740535,0.046896931,17.90608711,1.06E-71
Region.2megcc,-0.129238648,0.03530487,-3.660646469,0.00025158
Region.2menongcc,0.545127355,0.052145799,10.45390733,1.41E-25
daysToShow,-0.014799569,0.000431942,-34.26282685,2.81E-257
distlookinginternationalyes,0.058142063,0.012901346,4.506666426,6.59E-06
distributor,-0.185057361,0.017316781,-10.68659127,1.18E-26
dummy0to10noemploy251plus,-0.099282745,0.023675054,-4.193559399,2.75E-05
dummy0to10noemploy51to250,-0.038517592,0.021045232,-1.830228944,0.067215711
dummy15to24age2534,0.311264688,0.01550918,20.06970582,1.36E-89
dummy15to24age3544,0.361938678,0.015552983,23.27133444,8.65E-120
dummy15to24age4554,0.358234425,0.016504639,21.70507517,1.84E-104
dummy15to24age5564,0.390887376,0.019592563,19.95080322,1.47E-88
dummy15to24age65,0.291777569,0.032489154,8.980768502,2.69E-19
dummy50kbudgetnone,0.067863196,0.034846749,1.947475686,0.051477732
dummy50kbudgetupto100000,0.062542238,0.029911478,2.090910979,0.036536045
dummy50kbudgetupto1000000,0.092403912,0.025327768,3.648324368,0.000263956
dummy50kbudgetupto10000000,0.140149904,0.031650092,4.42810422,9.51E-06
dummy50kbudgetupto25million,0.090929359,0.050972876,1.783877356,0.074443596
dummy50kbudgetupto500000,0.086082779,0.03196054,2.693408161,0.007072563
dummy50kbudgetupto5000000,0.102365624,0.034917309,2.931658464,0.003371573
dummyagentdistributorsuppliernobarchitecturalfirm,-0.128206226,0.024949323,-5.138665606,2.77E-07
dummyagentdistributorsuppliernobbuildingconsultancy,-0.068724622,0.023293612,-2.950363441,0.003174003
dummyagentdistributorsuppliernobcontractor,-0.134736067,0.016904426,-7.970461156,1.58E-15
dummyagentdistributorsuppliernobeducationtraining,-0.089514718,0.046557052,-1.922688709,0.054519156
dummyagentdistributorsuppliernobengineering,-0.1042605,0.017054071,-6.113525552,9.75E-10
dummyagentdistributorsuppliernobfacilitiesmanagement,-0.138738336,0.039196004,-3.539604141,0.000400728
dummyagentdistributorsuppliernobinteriordesignagencyother,-0.130328958,0.026510508,-4.916124437,8.83E-07
dummyagentdistributorsuppliernobitsoftware,-0.219486072,0.04165172,-5.269556024,1.37E-07
dummyagentdistributorsuppliernoblandscaping,-0.283053005,0.060763547,-4.658269927,3.19E-06
dummyagentdistributorsuppliernobmanufacturer,0.062024956,0.015548096,3.989231642,6.63E-05
dummyagentdistributorsuppliernobmepcontractor,-0.179830358,0.031505573,-5.707890415,1.14E-08
dummyagentdistributorsuppliernobothers,-0.076120587,0.019323256,-3.939325048,8.17E-05
dummyagentdistributorsuppliernobpropertydeveloper,-0.153397427,0.032903024,-4.662107277,3.13E-06
dummyagentdistributorsuppliernobsubcontractor,-0.087270324,0.033485737,-2.606193882,0.009155462
dummyagentdistributorsuppliernobsurveying,-0.219709074,0.084437509,-2.602031687,0.009267329
dummyagentdistributorsuppliernobwasterecycling,-0.333127582,0.110362995,-3.018471754,0.002540531
dummyfmexposaudiinterestedtofmexpodubai2527september2017,-0.05994822,0.018844751,-3.18116272,0.001466852
dummyfmexposaudiinterestedtointersolarmiddleeastdubai2527september2017,0.048224356,0.020489416,2.353622767,0.018591468
dummyfmexposaudiinterestedtomiddleeastwasterecyclingdubai2527september2017,-0.05983927,0.019552701,-3.060409375,0.002210346
dummyfmexposaudiinterestedtothebig5dubai2629november2017,0.069947941,0.016779086,4.168757495,3.06E-05
dummyfmexposaudiinterestedtothebig5northafricacasablanca2527april2017,0.040946828,0.020837584,1.965046841,0.049408816
dummyfmexposaudiinterestedtowindowsdoorsfacadesdubai2527september2017,0.051344623,0.018696763,2.746177134,0.00602942
dummyinvitorrecommendcolleaguerecommednregisteredinvitee,0.206470725,0.033885818,6.093130921,1.11E-09
dummynotpaidpaymentstatuspaymentstatusfoc,0.67316055,0.101856175,6.608932126,3.87E-11
dummyotherbig5productslookingforbuildingenvelopespecialconstruction,0.046073109,0.02228641,2.067318528,0.03870415
dummyotherbig5productslookingforbuildinginteriorsfinishes,0.063314585,0.018226284,3.473806612,0.000513131
dummyotherbig5productslookingforconstructiontoolsbuildingmaterials,0.069697262,0.022742076,3.064683408,0.002179005
dummyotherbig5productslookingfordesigntechnologies,-0.042674264,0.018825176,-2.266872028,0.023398044
dummyotherbig5productslookingforelectricalsystems,-0.076191022,0.018450772,-4.12942193,3.64E-05
dummyotherbig5productslookingforheatingventilationairconditioning,0.05671687,0.017304513,3.277576841,0.001047022
dummyotherbig5productslookingforlighting,-0.075641163,0.015742125,-4.805015877,1.55E-06
dummyotherbig5productslookingforplumbingwatertechnology,0.065062441,0.01753902,3.709582571,0.000207601
dummyotherbig5productslookingforsecurityfireprotection,-0.039230063,0.018805956,-2.086044571,0.036974586
dummyotherbig5productslookingforsoftwareforconstruction,-0.068659691,0.016889486,-4.065232691,4.80E-05
employedemployed,-0.153785683,0.012242053,-12.56208297,3.41E-36
interestothereventyes,-0.067948198,0.018318141,-3.70933919,0.000207801
manufacturer,-0.267212624,0.018773703,-14.23334688,5.69E-46
purchaseauthorityyes,0.062679833,0.022244417,2.817778246,0.004835719
studentstudent,0.19419321,0.036457972,5.32649512,1.00E-07
